no,tanggal,jam,cuaca,suhu,,
580,25,4,2,5,,
581,25,5,2,5,,
582,25,6,2,5,,
583,25,7,2,5,,
584,25,8,2,5,,
585,25,9,2,6,,
586,25,10,2,7,,
587,25,11,2,7,,
588,25,12,2,8,,
589,25,13,1,8,,
590,25,14,2,9,,
591,25,15,2,8,,
592,25,16,2,7,,
593,25,17,2,5,,
594,25,18,2,4,,
595,25,19,2,4,,
596,25,20,2,4,,
597,25,21,2,4,,
598,25,22,2,4,,
599,25,23,2,3,,
600,25,24,2,3,,
601,26,1,2,3,,
602,26,2,2,3,,
603,26,3,2,3,,
604,26,4,2,2,,
605,26,5,2,2,,
606,26,6,2,2,,
607,26,7,2,2,,
608,26,8,2,2,,
609,26,9,2,5,,
610,26,10,2,6,,
611,26,11,2,6,,
612,26,12,2,7,,
613,26,13,2,8,,
614,26,14,2,8,,
615,26,15,1,7,,
616,26,16,2,8,,
617,26,17,2,7,,
618,26,18,2,6,,
619,26,19,2,5,,
620,26,20,2,4,,
621,26,21,2,4,,
622,26,22,2,4,,
623,26,23,2,4,,
624,26,24,2,3,,
625,27,1,2,3,,
626,27,2,2,4,,
627,27,3,2,4,,
628,27,4,2,4,,
629,27,5,2,3,,
630,27,6,2,3,,
631,27,7,1,3,,
632,27,8,1,3,,
633,27,9,1,,,
634,27,10,1,,,
635,27,11,2,,,
636,27,12,2,,,
637,27,13,2,,,
638,27,14,2,,,
639,27,15,2,,,
640,27,16,2,,,
641,27,17,2,,,
642,27,18,2,,,
643,27,19,2,,,
644,27,20,2,,,
645,27,21,2,,,
646,27,22,2,,,
647,27,23,2,,,
648,27,24,2,,,
649,28,1,2,,,
650,28,2,2,,,
651,28,3,2,,,
652,28,4,2,,,
653,28,5,2,,,
654,28,6,2,,,
655,28,7,2,,,
656,28,8,2,,,
657,28,9,1,,,
658,28,10,1,,,
659,28,11,1,,,
660,28,12,1,,,
661,28,13,2,,,
662,28,14,1,,,
663,28,15,1,,,
664,28,16,2,,,
665,28,17,2,,,
666,28,18,2,,,
667,28,19,1,,,
668,28,20,2,,,
669,28,21,2,,,
670,28,22,2,,,
671,28,23,2,,,
672,28,24,2,,,
673,29,1,2,,,
674,29,2,2,,,
675,29,3,2,,,
676,29,4,2,,,
677,29,5,2,,,
678,29,6,2,,,
679,29,7,1,,,
680,29,8,1,,,
681,29,9,1,,,
682,29,10,2,,,
